ts,scan_id,timeframe,level_type,level,touches,price,distance_atr,relation,event,atr,source_ts
2026-09-22T13:21:14.609234+00:00,20260922T132113.432092Z,5m,SUPPORT,85749.3425,4,85992.29,1.9155,ABOVE,NONE,126.835,1790079300
2026-09-22T13:33:55.877783+00:00,20260922T133354.358367Z,1h,RESISTANCE,86369.835,2,85985.79,0.7112,BELOW,RETEST,540.01285714,1790064000
2026-09-22T13:33:55.877832+00:00,20260922T133354.358367Z,1h,RESISTANCE,85257.0,1,85985.79,1.3496,ABOVE,NONE,540.01285714,1789981200
2026-09-22T13:33:55.877866+00:00,20260922T133354.358367Z,1h,SUPPORT,85059.28,1,85985.79,1.7157,ABOVE,NONE,540.01285714,1790053200
2026-09-22T13:33:55.877905+00:00,20260922T133354.358367Z,1h,RESISTANCE,87397.0,1,85985.79,2.6133,BELOW,NONE,540.01285714,1790020800
2026-09-22T13:33:55.877938+00:00,20260922T133354.358367Z,1h,RESISTANCE,82006.055,2,85985.79,7.3697,ABOVE,NONE,540.01285714,1789952400
2026-09-22T13:33:55.877969+00:00,20260922T133354.358367Z,1h,RESISTANCE,81437.55,3,85985.79,8.4225,ABOVE,NONE,540.01285714,1789920000
2026-09-22T13:33:55.878000+00:00,20260922T133354.358367Z,1h,SUPPORT,81145.88,1,85985.79,8.9626,ABOVE,NONE,540.01285714,1789822800
2026-09-22T13:33:55.878058+00:00,20260922T133354.358367Z,1h,SUPPORT,80850.21,3,85985.79,9.5101,ABOVE,NONE,540.01285714,1789952400
2026-09-22T13:33:55.923169+00:00,20260922T133354.358367Z,15m,RESISTANCE,86108.47,2,85985.79,0.4933,BELOW,NONE,248.66928571,1790076600
2026-09-22T13:33:55.923217+00:00,20260922T133354.358367Z,15m,RESISTANCE,85858.49,1,85985.79,0.5119,ABOVE,NONE,248.66928571,1790045100
2026-09-22T13:33:55.923251+00:00,20260922T133354.358367Z,15m,SUPPORT,85743.835,4,85985.79,0.973,ABOVE,REJECTION,248.66928571,1790079300
2026-09-22T13:33:55.923284+00:00,20260922T133354.358367Z,15m,RESISTANCE,86235.48,2,85985.79,1.0041,BELOW,NONE,248.66928571,1790082000
2026-09-22T13:33:55.923316+00:00,20260922T133354.358367Z,15m,RESISTANCE,85721.91,1,85985.79,1.0612,ABOVE,NONE,248.66928571,1790049600
2026-09-22T13:33:55.923358+00:00,20260922T133354.358367Z,15m,SUPPORT,86266.36,1,85985.79,1.1283,BELOW,NONE,248.66928571,1790030700
2026-09-22T13:33:55.923389+00:00,20260922T133354.358367Z,15m,RESISTANCE,86384.73,1,85985.79,1.6043,BELOW,NONE,248.66928571,1790066700
2026-09-22T13:33:55.923420+00:00,20260922T133354.358367Z,15m,RESISTANCE,85576.25,2,85985.79,1.6469,ABOVE,NONE,248.66928571,1790058600
2026-09-22T13:33:55.967808+00:00,20260922T133354.358367Z,5m,RESISTANCE,85976.6,1,85985.79,0.0583,ABOVE,RETEST,157.705,1790074800
2026-09-22T13:33:55.967851+00:00,20260922T133354.358367Z,5m,SUPPORT,85912.34,1,85985.79,0.4657,ABOVE,RECLAIM,157.705,1790081400
2026-09-22T13:33:55.967885+00:00,20260922T133354.358367Z,5m,RESISTANCE,86101.7,2,85985.79,0.735,BELOW,NONE,157.705,1790077200
2026-09-22T13:33:55.967918+00:00,20260922T133354.358367Z,5m,SUPPORT,85847.435,2,85985.79,0.8773,ABOVE,RECLAIM,157.705,1790078100
2026-09-22T13:33:55.967949+00:00,20260922T133354.358367Z,5m,RESISTANCE,86191.96,2,85985.79,1.3073,BELOW,NONE,157.705,1790082300
2026-09-22T13:33:55.967980+00:00,20260922T133354.358367Z,5m,SUPPORT,85759.824,5,85985.79,1.4328,ABOVE,RECLAIM,157.705,1790079300
2026-09-22T13:33:55.968011+00:00,20260922T133354.358367Z,5m,RESISTANCE,86259.99,1,85985.79,1.7387,BELOW,NONE,157.705,1790070900
2026-09-22T13:33:55.968067+00:00,20260922T133354.358367Z,5m,SUPPORT,85649.86,1,85985.79,2.1301,ABOVE,REJECTION,157.705,1790067900
2026-09-22T13:36:18.275265+00:00,20260922T133617.529296Z,1h,RESISTANCE,86369.835,2,85992.57,0.6986,BELOW,RETEST,540.01285714,1790064000
2026-09-22T13:36:18.275314+00:00,20260922T133617.529296Z,1h,RESISTANCE,85257.0,1,85992.57,1.3621,ABOVE,NONE,540.01285714,1789981200
2026-09-22T13:36:18.275346+00:00,20260922T133617.529296Z,1h,SUPPORT,85059.28,1,85992.57,1.7283,ABOVE,NONE,540.01285714,1790053200
2026-09-22T13:36:18.275379+00:00,20260922T133617.529296Z,1h,RESISTANCE,87397.0,1,85992.57,2.6007,BELOW,NONE,540.01285714,1790020800
2026-09-22T13:36:18.275408+00:00,20260922T133617.529296Z,1h,RESISTANCE,82006.055,2,85992.57,7.3823,ABOVE,NONE,540.01285714,1789952400
2026-09-22T13:36:18.275437+00:00,20260922T133617.529296Z,1h,RESISTANCE,81437.55,3,85992.57,8.435,ABOVE,NONE,540.01285714,1789920000
2026-09-22T13:36:18.275464+00:00,20260922T133617.529296Z,1h,SUPPORT,81145.88,1,85992.57,8.9751,ABOVE,NONE,540.01285714,1789822800
2026-09-22T13:36:18.275500+00:00,20260922T133617.529296Z,1h,SUPPORT,80850.21,3,85992.57,9.5227,ABOVE,NONE,540.01285714,1789952400
2026-09-22T13:36:18.332088+00:00,20260922T133617.529296Z,15m,RESISTANCE,86108.47,2,85992.57,0.4439,BELOW,REJECTION,261.07714286,1790076600
2026-09-22T13:36:18.332142+00:00,20260922T133617.529296Z,15m,RESISTANCE,85858.49,1,85992.57,0.5136,ABOVE,NONE,261.07714286,1790045100
2026-09-22T13:36:18.332171+00:00,20260922T133617.529296Z,15m,RESISTANCE,86235.48,2,85992.57,0.9304,BELOW,RETEST,261.07714286,1790082000
2026-09-22T13:36:18.332199+00:00,20260922T133617.529296Z,15m,SUPPORT,85743.835,4,85992.57,0.9527,ABOVE,REJECTION,261.07714286,1790079300
2026-09-22T13:36:18.332227+00:00,20260922T133617.529296Z,15m,RESISTANCE,85721.91,1,85992.57,1.0367,ABOVE,NONE,261.07714286,1790049600
2026-09-22T13:36:18.332264+00:00,20260922T133617.529296Z,15m,SUPPORT,86266.36,1,85992.57,1.0487,BELOW,NONE,261.07714286,1790030700
2026-09-22T13:36:18.332292+00:00,20260922T133617.529296Z,15m,RESISTANCE,86384.73,1,85992.57,1.5021,BELOW,NONE,261.07714286,1790066700
2026-09-22T13:36:18.332319+00:00,20260922T133617.529296Z,15m,RESISTANCE,85576.25,2,85992.57,1.5946,ABOVE,NONE,261.07714286,1790058600
2026-09-22T13:36:18.372774+00:00,20260922T133617.529296Z,5m,RESISTANCE,85976.6,1,85992.57,0.0963,ABOVE,RETEST,165.90928571,1790074800
2026-09-22T13:36:18.372821+00:00,20260922T133617.529296Z,5m,SUPPORT,85912.34,1,85992.57,0.4836,ABOVE,NONE,165.90928571,1790081400
2026-09-22T13:36:18.372851+00:00,20260922T133617.529296Z,5m,RESISTANCE,86101.7,2,85992.57,0.6578,BELOW,REJECTION,165.90928571,1790077200
2026-09-22T13:36:18.372880+00:00,20260922T133617.529296Z,5m,SUPPORT,85847.435,2,85992.57,0.8748,ABOVE,NONE,165.90928571,1790078100
2026-09-22T13:36:18.372908+00:00,20260922T133617.529296Z,5m,RESISTANCE,86191.96,2,85992.57,1.2018,BELOW,RETEST,165.90928571,1790082300
2026-09-22T13:36:18.372935+00:00,20260922T133617.529296Z,5m,SUPPORT,85759.824,5,85992.57,1.4029,ABOVE,NONE,165.90928571,1790079300
2026-09-22T13:36:18.372962+00:00,20260922T133617.529296Z,5m,RESISTANCE,86259.99,1,85992.57,1.6118,BELOW,NONE,165.90928571,1790070900
2026-09-22T13:36:18.372993+00:00,20260922T133617.529296Z,5m,SUPPORT,85649.86,1,85992.57,2.0656,ABOVE,NONE,165.90928571,1790067900
2026-09-22T13:48:39.329526+00:00,20260922T134831.221488Z,1h,RESISTANCE,86369.835,2,86013.3,0.6602,BELOW,RETEST,540.01285714,1790064000
2026-09-22T13:48:39.329576+00:00,20260922T134831.221488Z,1h,RESISTANCE,85257.0,1,86013.3,1.4005,ABOVE,NONE,540.01285714,1789981200
2026-09-22T13:48:39.329608+00:00,20260922T134831.221488Z,1h,SUPPORT,85059.28,1,86013.3,1.7667,ABOVE,NONE,540.01285714,1790053200
2026-09-22T13:48:39.329641+00:00,20260922T134831.221488Z,1h,RESISTANCE,87397.0,1,86013.3,2.5623,BELOW,NONE,540.01285714,1790020800
2026-09-22T13:48:39.329670+00:00,20260922T134831.221488Z,1h,RESISTANCE,82006.055,2,86013.3,7.4206,ABOVE,NONE,540.01285714,1789952400
2026-09-22T13:48:39.329700+00:00,20260922T134831.221488Z,1h,RESISTANCE,81437.55,3,86013.3,8.4734,ABOVE,NONE,540.01285714,1789920000
2026-09-22T13:48:39.329729+00:00,20260922T134831.221488Z,1h,SUPPORT,81145.88,1,86013.3,9.0135,ABOVE,NONE,540.01285714,1789822800
2026-09-22T13:48:39.329765+00:00,20260922T134831.221488Z,1h,SUPPORT,80850.21,3,86013.3,9.5611,ABOVE,NONE,540.01285714,1789952400
2026-09-22T13:48:39.369310+00:00,20260922T134831.221488Z,15m,RESISTANCE,86108.47,2,86013.3,0.3771,BELOW,NONE,252.38571429,1790076600
2026-09-22T13:48:39.369356+00:00,20260922T134831.221488Z,15m,RESISTANCE,85858.49,1,86013.3,0.6134,ABOVE,NONE,252.38571429,1790045100
2026-09-22T13:48:39.369385+00:00,20260922T134831.221488Z,15m,RESISTANCE,86235.48,2,86013.3,0.8803,BELOW,NONE,252.38571429,1790082000
2026-09-22T13:48:39.369414+00:00,20260922T134831.221488Z,15m,SUPPORT,85764.42,3,86013.3,0.9861,ABOVE,NONE,252.38571429,1790079300
2026-09-22T13:48:39.369442+00:00,20260922T134831.221488Z,15m,SUPPORT,86266.36,1,86013.3,1.0027,BELOW,NONE,252.38571429,1790030700
2026-09-22T13:48:39.369475+00:00,20260922T134831.221488Z,15m,RESISTANCE,85721.91,1,86013.3,1.1545,ABOVE,NONE,252.38571429,1790049600
2026-09-22T13:48:39.369514+00:00,20260922T134831.221488Z,15m,RESISTANCE,86384.73,1,86013.3,1.4717,BELOW,NONE,252.38571429,1790066700
2026-09-22T13:48:39.369543+00:00,20260922T134831.221488Z,15m,RESISTANCE,85576.25,2,86013.3,1.7317,ABOVE,NONE,252.38571429,1790058600
2026-09-22T13:48:39.409334+00:00,20260922T134831.221488Z,5m,RESISTANCE,85976.6,1,86013.3,0.185,ABOVE,RETEST,198.33571429,1790074800
2026-09-22T13:48:39.409381+00:00,20260922T134831.221488Z,5m,RESISTANCE,86136.0525,4,86013.3,0.6189,BELOW,NONE,198.33571429,1790084100
2026-09-22T13:48:39.409411+00:00,20260922T134831.221488Z,5m,SUPPORT,85888.99,2,86013.3,0.6268,ABOVE,RETEST,198.33571429,1790081400
2026-09-22T13:48:39.409440+00:00,20260922T134831.221488Z,5m,RESISTANCE,86235.48,2,86013.3,1.1202,BELOW,NONE,198.33571429,1790082300
2026-09-22T13:48:39.409468+00:00,20260922T134831.221488Z,5m,SUPPORT,85771.39166667,6,86013.3,1.2197,ABOVE,NONE,198.33571429,1790079300
2026-09-22T13:48:39.409495+00:00,20260922T134831.221488Z,5m,SUPPORT,85649.86,1,86013.3,1.8324,ABOVE,NONE,198.33571429,1790067900
2026-09-22T13:48:39.409534+00:00,20260922T134831.221488Z,5m,RESISTANCE,86384.73,1,86013.3,1.8727,BELOW,NONE,198.33571429,1790067000
2026-09-22T13:48:39.409571+00:00,20260922T134831.221488Z,5m,SUPPORT,85560.12,1,86013.3,2.2849,ABOVE,NONE,198.33571429,1790083800
